Forever With You	橋本みゆき＆佐咲紗花	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02_「Forever With You」橋本みゆき＆佐咲紗花.wav
明日へと	米倉千尋	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/02_「明日へと」米倉千尋.wav
明日のこと。		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03 明日のこと。.wav
Shiny Sky Shiny Days	NANA	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03_「Shiny Sky Shiny Days」NANA.wav
思い出の結晶	松下	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/03_「思い出の結晶」松下.wav
海岸線		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04 海岸線.wav
My Wish Forever	榊原ゆい	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04_「My Wish Forever」榊原ゆい.wav
The road we belong	AiRI	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/04_「The road we belong」AiRI.wav
Blue, Summertime Blue		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05 Blue, Summertime Blue.wav
恋影		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05.恋影_ハイレゾ.wav
hello! new world	Faylan	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05_「hello! new world」Faylan.wav
繋いでいく未来	櫻川めぐ	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/05_「繋いでいく未来」櫻川めぐ.wav
On the Rails	佐々木恵梨	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06_「On the Rails」佐々木恵梨.wav
水彩	riya（eufonius）	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/06_「水彩」riya（eufonius）.wav
はじめてのこい	rino(CooRie)	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07_「はじめてのこい」rino(CooRie).wav
ひだまりライン	はな	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/07_「ひだまりライン」はな.wav
blooming symphony	Ayumi.(Astilbe	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08_「blooming symphony」Ayumi.(Astilbe.wav
Indivisible Love	奥井雅美	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/08_「Indivisible Love」奥井雅美.wav
All right!!	KOTOKO	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/09_「All right!!」KOTOKO.wav
floraison	美郷あき	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/09_「floraison」美郷あき.wav
リトルプリュム	Duca	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/10_「リトルプリュム」Duca.wav
終わらないリズム	茶太	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/10_「終わらないリズム」茶太.wav
GRAND EXPRESS	カサンドラ	/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/11_「GRAND EXPRESS」カサンドラ.wav
遥か彼方_Re_frain		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/3-09 遥か彼方_Re_frain.wav
星空のいま(ゲーム盤)		/mnt/d/yu28s/Music/music_centor/Unknown Artist/Unknown Album/星空のいま(ゲーム盤).mp3
一冊のアロー		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/01.一冊のアロー_ハイレゾ.wav
Heart Creation		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/02.Heart Creation_ハイレゾ.wav
happy palette♪		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/03.happy palette♪_ハイレゾ.wav
トキラキメキ		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/04.トキラキメキ_ハイレゾ.wav
恋影		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/05.恋影_ハイレゾ.wav
夏色カメラロール		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/06.夏色カメラロール_ハイレゾ.wav
Little Silent Snow		/mnt/d/yu28s/Music/music_centor/ハミダシクリエイティブ凸 ボーカルアルバム_ハイレゾ音源/07.Little Silent Snow_ハイレゾ.wav

